title.id,title.isAdult,title.canRateTitle.isRatable,title.originalTitleText.text,title.primaryImage.id,title.primaryImage.imageUrl,title.primaryImage.imageWidth,title.primaryImage.imageHeight,title.ratingsSummary.aggregateRating,title.ratingsSummary.topRanking,title.ratingsSummary.voteCount,title.releaseYear.year,title.releaseYear.endYear,title.titleEpisode,title.titleText.text,title.titleType.id,title.titleType.text,title.titleType.displayableProperty.value.plainText,title.titleType.categories,title.titleType.canHaveEpisodes,title.titleType.isSeries,title.titleType.isEpisode,title.series,title.ratingsSummary.topRanking.rank,country
tt28259207,False,True,Kill,rm671641857,https://m.media-amazon.com/images/M/MV5BZjI1ZjM3NjUtYTc1Ni00ODJmLWI5YjQtMWZiZTAyNTFiZGY1XkEyXkFqcGc@._V1_.jpg,1080,1350,7.9,,7214,2023,,,Kill,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt27440937,False,True,Weapon,rm3727717121,https://m.media-amazon.com/images/M/MV5BMzIxMDkzNjMtYWRjYy00MTFkLTk0M2EtY2Q3ZTEwZTI5MTFhXkEyXkFqcGc@._V1_.jpg,820,1280,8.7,,5165,2024,,,Weapon,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt23864864,False,True,Joram,rm4185347073,https://m.media-amazon.com/images/M/MV5BOWE4M2Y3YmUtNDhhNy00YjA4LThkMGQtNTZkMjM2ZDRhM2UwXkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_.jpg,1000,1500,6.6,,2473,2023,,,Joram,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt11651796,False,True,AK vs AK,rm279368193,https://m.media-amazon.com/images/M/MV5BNDJkOTVkYTMtMTk2OC00YTkyLThjMGYtMTdiYWRjYTQ1YTYzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,805,1200,6.9,,15270,2020,,,AK vs AK,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt14479746,False,True,Thar,rm402464513,https://m.media-amazon.com/images/M/MV5BOWY1NjE2MzUtYTVjOC00ZDUxLWIwZDUtMzk5YWQ5ODc5YTI5XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,1080,1078,6.1,,8030,2022,,,Thar,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt32368060,False,True,Dirty Fellow,rm4190993665,https://m.media-amazon.com/images/M/MV5BMGI0MTQ5ODQtNmZiMy00MjY3LWE4ODktYzUwZTFkYmJlNDZjXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_.jpg,1654,2290,9.8,,3258,2024,,,Dirty Fellow,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt13510660,False,True,Dhamaka,rm36434945,https://m.media-amazon.com/images/M/MV5BNzUyOWU2M2MtMDU1Yy00M2E1LTg3OTktMGRjYTE2MjkzYzUwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,746,1080,6.8,,42656,2021,,,Dhamaka,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,3758.0,IN
tt15073166,False,True,IB 71,rm4031928321,https://m.media-amazon.com/images/M/MV5BZDk1NWU5MjMtOWY4Zi00YWJhLTlkMDUtYjllMjQwZWE3OGU2XkEyXkFqcGdeQXVyMTY4MjU0NDY3._V1_.jpg,1078,1616,7.2,,10565,2023,,,IB 71,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt14418234,False,True,State of Siege: Temple Attack,rm1060829185,https://m.media-amazon.com/images/M/MV5BNGNlOWEyZDgtNTZiMi00YjgxLTlkOTUtNGI3ZWM2YzU3ZTU2XkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg,2000,2500,7.7,,9750,2021,,,State of Siege: Temple Attack,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
tt20724796,False,True,Kerosene,rm2378043649,https://m.media-amazon.com/images/M/MV5BNGRlODk2NTctNmRjNS00YjhmLTllYzAtMmJhNDY1NjIwOTA5XkEyXkFqcGdeQXVyMTEwOTUyOTg5._V1_.jpg,2000,3000,6.6,,1621,2022,,,Kerosene,movie,Movie,,"[{'id': 'movie', 'text': 'Movie', 'value': 'movie'}]",False,False,False,,,IN
